product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
プレミアムおにぎり　わさび仕立ての黒毛和牛カルビ焼肉,322,https://www.lawson.co.jp/recommend/original/detail/img/l794520.jpg,240,5.1,5.2,44.1,42.3,1.8,1.63,https://www.lawson.co.jp/recommend/original/detail/1510654_1996.html
プレミアムおにぎり　いくら醤油漬,308,https://www.lawson.co.jp/recommend/original/detail/img/l786918.jpg,193,5,1.7,40.2,38.8,1.4,1.37,https://www.lawson.co.jp/recommend/original/detail/1507091_1996.html
プレミアムおにぎり　焼さけハラミ,297,https://www.lawson.co.jp/recommend/original/detail/img/l786917.jpg,204,6.6,3.3,37.5,36.6,0.9,1.5,https://www.lawson.co.jp/recommend/original/detail/1507092_1996.html
プレミアムおにぎり　鮭明太,246,https://www.lawson.co.jp/recommend/original/detail/img/l792939.jpg,198,4.9,2.1,40.4,39.3,1.1,1.58,https://www.lawson.co.jp/recommend/original/detail/1510139_1996.html
プレミアムおにぎり　熟成生たらこ,275,https://www.lawson.co.jp/recommend/original/detail/img/l786936.jpg,197,5.7,1.2,41.3,40.3,1,1.14,https://www.lawson.co.jp/recommend/original/detail/1507291_1996.html
プレミアムおにぎり　直火焼黒毛和牛カルビ焼肉(ナムル),322,https://www.lawson.co.jp/recommend/original/detail/img/l790847.jpg,247,5.6,6.3,42.7,41,1.7,1.4,https://www.lawson.co.jp/recommend/original/detail/1508650_1996.html
プレミアムおにぎり　塩にぎり,149,https://www.lawson.co.jp/recommend/original/detail/img/l786939.jpg,207,3.5,1.1,46.2,45.4,0.8,0.85,https://www.lawson.co.jp/recommend/original/detail/1509134_1996.html
焼豚辛味噌おにぎり,181,https://www.lawson.co.jp/recommend/original/detail/img/l793334.jpg,191,5.3,2.2,37.9,37.1,0.8,1.56,https://www.lawson.co.jp/recommend/original/detail/1390947_1996.html
舞茸と霜降りひらたけ®のおこわおにぎり,192,https://www.lawson.co.jp/recommend/original/detail/img/l793352.jpg,194,4.4,2.3,39.8,38,1.8,1.19,https://www.lawson.co.jp/recommend/original/detail/1510226_1996.html
だしおにぎり　梅おかか,138,https://www.lawson.co.jp/recommend/original/detail/img/l793354.jpg,188,4.1,1.2,40.8,39.8,1,1.21,https://www.lawson.co.jp/recommend/original/detail/1510225_1996.html
大きなおにぎり　シーチキン®マヨネーズ,279,https://www.lawson.co.jp/recommend/original/detail/img/l787963.jpg,366,6.8,11.2,60.5,58.3,2.2,2.13,https://www.lawson.co.jp/recommend/original/detail/1507752_1996.html
大きなおにぎり　鮭,289,https://www.lawson.co.jp/recommend/original/detail/img/l787354.jpg,283,7.7,2.5,58.6,56.4,2.2,2,https://www.lawson.co.jp/recommend/original/detail/1507533_1996.html
大きなおにぎり　辛旨チャーハン＆チャーシューマヨネーズ,289,https://www.lawson.co.jp/recommend/original/detail/img/l792625.jpg,337,6.8,9.4,57.3,55.1,2.2,3.4,https://www.lawson.co.jp/recommend/original/detail/1509519_1996.html
具！おにぎり　ポーク玉子(シーチキン®マヨネーズ),322,https://www.lawson.co.jp/recommend/original/detail/img/l789897.jpg,356,12.4,15.2,43.3,41.6,1.7,2.54,https://www.lawson.co.jp/recommend/original/detail/1504108_1996.html
具！おにぎり　まるでまぐろたたき丼(とろたく風),354,https://www.lawson.co.jp/recommend/original/detail/img/l791783.jpg,281,10.5,5.5,48,46.5,1.5,3.19,https://www.lawson.co.jp/recommend/original/detail/1509462_1996.html
大きなおにぎり　高菜明太ごはん,246,https://www.lawson.co.jp/recommend/original/detail/img/l793335.jpg,266,6.4,4.5,51.3,48.6,2.7,1.6,https://www.lawson.co.jp/recommend/original/detail/1510075_1996.html
手巻おにぎり　シーチキン®マヨネーズ,181,https://www.lawson.co.jp/recommend/original/detail/img/l787518.jpg,226,4.2,7.7,35.7,34,1.7,1.18,https://www.lawson.co.jp/recommend/original/detail/1507601_1996.html
手巻おにぎり　熟成紀州南高梅,184,https://www.lawson.co.jp/recommend/original/detail/img/l787519.jpg,169,3,1,37.5,36.7,0.8,1.62,https://www.lawson.co.jp/recommend/original/detail/1507754_1996.html
手巻おにぎり　炙り熟成紅鮭,221,https://www.lawson.co.jp/recommend/original/detail/img/l787520.jpg,174,4.8,1.9,35.1,33.9,1.2,1.19,https://www.lawson.co.jp/recommend/original/detail/1507600_1996.html
手巻おにぎり　熟成辛子明太子,221,https://www.lawson.co.jp/recommend/original/detail/img/l787521.jpg,174,5.1,1.1,36.6,35.2,1.4,1.37,https://www.lawson.co.jp/recommend/original/detail/1507755_1996.html
手巻おにぎり　北海道産日高昆布,184,https://www.lawson.co.jp/recommend/original/detail/img/l787525.jpg,173,3.5,0.9,38.6,36.8,1.8,1.34,https://www.lawson.co.jp/recommend/original/detail/1507756_1996.html
手巻おにぎり　ゆかり®ごはん(沢庵おかか),192,https://www.lawson.co.jp/recommend/original/detail/img/l792646.jpg,160,3.7,1.1,34.6,33.1,1.5,1.21,https://www.lawson.co.jp/recommend/original/detail/1509518_1996.html
味付海苔手巻おにぎり　追い鰹製法おかか,184,https://www.lawson.co.jp/recommend/original/detail/img/l787516.jpg,171,4.3,0.9,37.2,35.8,1.4,1.25,https://www.lawson.co.jp/recommend/original/detail/1507753_1996.html
和風シーチキン®マヨネーズおにぎり,181,https://www.lawson.co.jp/recommend/original/detail/img/l784643.jpg,257,5.3,7.1,43.7,42.4,1.3,1.54,https://www.lawson.co.jp/recommend/original/detail/1506447_1996.html
チャーシューマヨネーズおにぎり,181,https://www.lawson.co.jp/recommend/original/detail/img/l786007.jpg,206,4.9,3.5,39.2,38.1,1.1,1.46,https://www.lawson.co.jp/recommend/original/detail/1500435_1996.html
胡麻さけおにぎり,167,https://www.lawson.co.jp/recommend/original/detail/img/l784645.jpg,183,5.1,2.2,36.4,35,1.4,1.5,https://www.lawson.co.jp/recommend/original/detail/1506446_1996.html
三陸産わかめごはんおにぎり,167,https://www.lawson.co.jp/recommend/original/detail/img/l784639.jpg,186,3.8,1.3,40.2,39.4,0.8,1.12,https://www.lawson.co.jp/recommend/original/detail/1506302_1996.html
阿波尾鶏の鶏五目おにぎり,192,https://www.lawson.co.jp/recommend/original/detail/img/l784647.jpg,171,5,1.6,34.8,33.7,1.1,1.35,https://www.lawson.co.jp/recommend/original/detail/1506445_1996.html
北海道十勝産小豆　赤飯おこわ,181,https://www.lawson.co.jp/recommend/original/detail/img/l784678.jpg,206,4.8,1.2,45.2,43,2.2,1.11,https://www.lawson.co.jp/recommend/original/detail/1506444_1996.html
天かすやみつきおにぎり(国産もち麦入り),138,https://www.lawson.co.jp/recommend/original/detail/img/l791782.jpg,204,3.7,4.8,37.7,35.5,2.2,1.29,https://www.lawson.co.jp/recommend/original/detail/1509254_1996.html
しば漬けしそひじきおにぎり(国産もち麦入り),138,https://www.lawson.co.jp/recommend/original/detail/img/l791781.jpg,159,3.3,1.1,35.1,33,2.1,0.9,https://www.lawson.co.jp/recommend/original/detail/1509253_1996.html
たっぷり食物繊維が摂れる　梅しそごはんおにぎり(国産もち麦入り),181,https://www.lawson.co.jp/recommend/original/detail/img/l784652.jpg,170,4.2,2,38,29.4,8.6,2.49,https://www.lawson.co.jp/recommend/original/detail/1506442_1996.html
おにぎり2個セット(胡麻さけ・ゆかり®),408,https://www.lawson.co.jp/recommend/original/detail/img/l788866.jpg,404,11.3,8.5,71.9,69.3,2.6,2.99,https://www.lawson.co.jp/recommend/original/detail/1508134_1996.html
おにぎりおかずセット(シーチキン®マヨネーズ・鮭),448,https://www.lawson.co.jp/recommend/original/detail/img/l784655.jpg,525,16,17.1,78.7,75,3.7,3.2,https://www.lawson.co.jp/recommend/original/detail/1506441_1996.html
チャーハン＆焼ラーメンセット,397,https://www.lawson.co.jp/recommend/original/detail/img/l792643.jpg,405,12.2,10.7,66.9,63.2,3.7,4.68,https://www.lawson.co.jp/recommend/original/detail/1509517_1996.html
たっぷり食物繊維が摂れる　枝豆と塩昆布おにぎり(国産もち麦入り),181,https://www.lawson.co.jp/recommend/original/detail/img/l784649.jpg,172,5.1,2.2,36.9,28.8,8.1,0.64,https://www.lawson.co.jp/recommend/original/detail/1506443_1996.html
もったいない手巻寿司　サーモンわさび醤油,246,https://www.lawson.co.jp/recommend/original/detail/img/l794518.jpg,168,4.5,2.4,32.6,31.4,1.2,1.3,https://www.lawson.co.jp/recommend/original/detail/1510655_1996.html
おいなりさん　きのこ(椎茸),214,https://www.lawson.co.jp/recommend/original/detail/img/l793351.jpg,187,5.1,3.6,34.5,32.5,2,1.39,https://www.lawson.co.jp/recommend/original/detail/1510228_1996.html
寿司おかずセット(いなりと椎茸ちらし),497,https://www.lawson.co.jp/recommend/original/detail/img/l793350.jpg,455,12.8,14.1,71.4,67.1,4.3,3.14,https://www.lawson.co.jp/recommend/original/detail/1510227_1996.html
手巻寿司　海老マヨ,257,https://www.lawson.co.jp/recommend/original/detail/img/l784636.jpg,186,3.9,4,34.2,33,1.2,1.77,https://www.lawson.co.jp/recommend/original/detail/1509471_1996.html
手巻寿司　ねぎとろ,257,https://www.lawson.co.jp/recommend/original/detail/img/l784635.jpg,173,5.7,2.5,32.6,31.2,1.4,1.91,https://www.lawson.co.jp/recommend/original/detail/1509470_1996.html
手巻寿司　サーモンマヨ,257,https://www.lawson.co.jp/recommend/original/detail/img/l784634.jpg,192,4.3,6.4,29.9,28.8,1.1,1.54,https://www.lawson.co.jp/recommend/original/detail/1509469_1996.html
手巻寿司　納豆,214,https://www.lawson.co.jp/recommend/original/detail/img/l784637.jpg,162,5.6,1.9,31.7,29.7,2,1.29,https://www.lawson.co.jp/recommend/original/detail/1509468_1996.html
もったいない手巻寿司　ピリ辛豚焼肉,246,https://www.lawson.co.jp/recommend/original/detail/img/l792006.jpg,184,4.5,2.4,37,35.4,1.6,1.74,https://www.lawson.co.jp/recommend/original/detail/1509467_1996.html
細巻納豆　12巻,430,https://www.lawson.co.jp/recommend/original/detail/img/l784630.jpg,319,11.7,3.8,61.3,57.7,3.6,2.28,https://www.lawson.co.jp/recommend/original/detail/1509466_1996.html
サラダ巻,475,https://www.lawson.co.jp/recommend/original/detail/img/l792002.jpg,424,8.7,8.5,79.7,76.6,3.1,3.29,https://www.lawson.co.jp/recommend/original/detail/1509465_1996.html
助六寿司,538,https://www.lawson.co.jp/recommend/original/detail/img/l791999.jpg,466,13.8,10.5,80.8,77.4,3.4,3.32,https://www.lawson.co.jp/recommend/original/detail/1509464_1996.html
いなり　3個入,311,https://www.lawson.co.jp/recommend/original/detail/img/l791996.jpg,299,9.6,7.3,49.3,48.1,1.2,2.08,https://www.lawson.co.jp/recommend/original/detail/1509463_1996.html
にんにく香る！辛旨豚焼肉キンパ,430,https://www.lawson.co.jp/recommend/original/detail/img/l792624.jpg,272,7.8,6.3,47.6,44.4,3.2,3.13,https://www.lawson.co.jp/recommend/original/detail/1509520_1996.html
秋の味わいおかず弁当,497,https://www.lawson.co.jp/recommend/original/detail/img/l790251.jpg,396,13,11.6,61.5,58.1,3.4,2.68,https://www.lawson.co.jp/recommend/original/detail/1510230_1996.html
おにぎり弁当,516,https://www.lawson.co.jp/recommend/original/detail/img/l778875.jpg,500,17.5,20.2,63.4,60.8,2.6,3.51,https://www.lawson.co.jp/recommend/original/detail/1506416_1996.html
明太唐揚のり弁当,497,https://www.lawson.co.jp/recommend/original/detail/img/l785053.jpg,538,21.8,18.4,73,69.6,3.4,2.2,https://www.lawson.co.jp/recommend/original/detail/1507095_1996.html
鶏そぼろ弁当,421,https://www.lawson.co.jp/recommend/original/detail/img/l789448.jpg,341,15.5,4.5,60.7,58.4,2.3,2.17,https://www.lawson.co.jp/recommend/original/detail/1509270_1996.html
あじほぐし弁当,421,https://www.lawson.co.jp/recommend/original/detail/img/l789449_1.jpg,310,10.9,4,58.7,56.3,2.4,1.25,https://www.lawson.co.jp/recommend/original/detail/1509269_1996.html
おかずいろいろ幕の内,646,https://www.lawson.co.jp/recommend/original/detail/img/l785005.jpg,598,17.3,21.8,85.1,81.3,3.8,2.53,https://www.lawson.co.jp/recommend/original/detail/1502255_1996.html
おかズドン！タルタル鶏唐揚弁当,626,https://www.lawson.co.jp/recommend/original/detail/img/l789451.jpg,764,35.7,23.2,105.4,100.8,4.6,4.22,https://www.lawson.co.jp/recommend/original/detail/1509521_1996.html
よくばり合体メシ　オムカレー＆ペペロンチーノ,754,https://www.lawson.co.jp/recommend/original/detail/img/l790258.jpg,"1,004",30.4,35.5,146.1,135.2,10.9,8.54,https://www.lawson.co.jp/recommend/original/detail/1510229_1996.html
だしご飯の海苔弁当,667,https://www.lawson.co.jp/recommend/original/detail/img/l784941.jpg,836,26.8,33.6,109.3,104,5.3,4.23,https://www.lawson.co.jp/recommend/original/detail/1506410_1996.html
たっぷりタルタルのチキン南蛮弁当,697,https://www.lawson.co.jp/recommend/original/detail/img/l780449.jpg,951,34.1,45.6,102.7,99.5,3.2,6.19,https://www.lawson.co.jp/recommend/original/detail/1505349_1996.html
牛丼,646,https://www.lawson.co.jp/recommend/original/detail/img/l784946.jpg,622,17,31.8,69,64.9,4.1,2.88,https://www.lawson.co.jp/recommend/original/detail/1506411_1996.html
ねぎ塩炭火焼牛カルビ丼,646,https://www.lawson.co.jp/recommend/original/detail/img/l789438.jpg,489,14.6,17.3,69.9,67.7,2.2,2.45,https://www.lawson.co.jp/recommend/original/detail/1508278_1996.html
国産生姜の豚生姜焼弁当,697,https://www.lawson.co.jp/recommend/original/detail/img/l781578.jpg,620,27.8,19.4,85.7,81.5,4.2,4.19,https://www.lawson.co.jp/recommend/original/detail/1505527_1996.html
ヨード卵・光®のロースかつ丼,697,https://www.lawson.co.jp/recommend/original/detail/img/l784011.jpg,710,27.7,23.6,99,94.5,4.5,3.61,https://www.lawson.co.jp/recommend/original/detail/1500461_1996.html
ヨード卵・光®の親子丼,646,https://www.lawson.co.jp/recommend/original/detail/img/l789445.jpg,497,24.8,10,77.7,76.2,1.5,2.99,https://www.lawson.co.jp/recommend/original/detail/1509268_1996.html
醤油が効いた鶏竜田揚げ弁当,697,https://www.lawson.co.jp/recommend/original/detail/img/l783791.jpg,802,27.2,32.8,102,97.2,4.8,3.56,https://www.lawson.co.jp/recommend/original/detail/1508137_1996.html
赤ワイン仕立てのデミハンバーグ弁当,743,https://www.lawson.co.jp/recommend/original/detail/img/l784944.jpg,702,25.6,24.8,96.4,92,4.4,3.83,https://www.lawson.co.jp/recommend/original/detail/1506413_1996.html
ポークカレー(中辛),599,https://www.lawson.co.jp/recommend/original/detail/img/l783798.jpg,467,12.4,8.8,87.9,81.3,6.6,3.12,https://www.lawson.co.jp/recommend/original/detail/1507839_1996.html
グリル満天星お墨付き　オムライス,697,https://www.lawson.co.jp/recommend/original/detail/img/l783792.jpg,559,20.1,24.4,67,62.3,4.7,5.05,https://www.lawson.co.jp/recommend/original/detail/1507838_1996.html
