product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
さんまの塩焼定食,990,/files/menu_img/sp_508s.jpg?id=2314,501,35.4,13.4,63.9,56.7,7.2,3.5,https://www.yayoiken.com/menu_list/view/13/508
【揚げ出し茄子小鉢付】さんまの塩焼定食,1190,/files/menu_img/sp_509s.jpg?id=2314,649,37.1,24.0,76.0,67.4,8.6,4.6,https://www.yayoiken.com/menu_list/view/13/509
【ミニすき焼き小鉢付】さんまの塩焼定食,1310,/files/menu_img/sp_510s.jpg?id=2314,682,41.6,26.6,74.4,65.1,9.3,4.8,https://www.yayoiken.com/menu_list/view/13/510
～徳島県産阿波尾鶏使用～地鶏まぶし定食,1090,/files/menu_img/sp_511s.jpg?id=2314,672,38.7,17.8,93.5,88.2,5.3,4.0,https://www.yayoiken.com/menu_list/view/13/511
～徳島県産阿波尾鶏使用～【お肉2倍】地鶏まぶし定食,1690,/files/menu_img/sp_512s.jpg?id=2314,877,65.5,28.1,94.7,89.4,5.3,5.0,https://www.yayoiken.com/menu_list/view/13/512
牛バターちゃんぽん焼定食,1150,/files/menu_img/sp_503s.jpg?id=2314,1010,32.3,35.4,144.2,136.4,7.8,6.2,https://www.yayoiken.com/menu_list/view/13/503
【お肉２倍】牛バターちゃんぽん焼定食,1550,/files/menu_img/sp_504s.jpg?id=2314,1263,43.1,56.6,149.5,140.9,8.6,7.2,https://www.yayoiken.com/menu_list/view/13/504
しょうが焼定食,860,/files/menu_img/sp_379s.jpg?id=2314,717,26.2,37.1,72.9,66.1,6.8,5.0,https://www.yayoiken.com/menu_list/view/13/379
肉野菜炒め定食,950,/files/menu_img/sp_380s.jpg?id=2314,545,26.4,18.6,71.4,64.2,7.2,5.0,https://www.yayoiken.com/menu_list/view/13/380
チキン南蛮定食,990,/files/menu_img/sp_421s.jpg?id=2314,1038,29.5,57.0,104.5,97.5,7.0,5.9,https://www.yayoiken.com/menu_list/view/13/421
から揚げ定食,890,/files/menu_img/sp_422s.jpg?id=2314,844,39.7,43.4,78.6,71.9,6.7,6.1,https://www.yayoiken.com/menu_list/view/13/422
特から揚げ定食,1080,/files/menu_img/sp_423s.jpg?id=2314,992,51.7,52.2,83.8,76.7,7.1,6.9,https://www.yayoiken.com/menu_list/view/13/423
