product_name,price,picture,url,calorie,protein,fat,carbohydrate,sugar,fiber,salt
大きなおむすび和風ツナマヨネーズ,228円（税込246.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047625/0D4B6F377DAD5EDCDEA42ADBE0EAA6A4.jpg,https://www.sej.co.jp/products/a/item/047625/,355kcal,7.9g,11.8g,55.6g,53.2g,2.4g,1.7g
直巻おむすびすじこ（醤油麹仕立て）,195円（税込210.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047794/07DC8C8F62E447F38900970B0A8ACBF5.jpg,https://www.sej.co.jp/products/a/item/047794/,180kcal,4.0g,1.4g,38.8g,37.0g,1.8g,1.3g
高菜ごはんおむすび,148円（税込159.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047913/13855AECFED35D90344763424EA68850.jpg,https://www.sej.co.jp/products/a/item/047913/,176kcal,3.5g,2.0g,37.1g,34.7g,2.4g,2g
味付海苔ツナマヨネーズ,165円（税込178.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047786/BC434201E3FE7C32240B5ABC20A6789A.jpg,https://www.sej.co.jp/products/a/item/047786/,251kcal,5.0g,9.9g,36.4g,34.6g,1.8g,1g
手巻おにぎりだしの旨味昆布,160円（税込172.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047776/80BDCECB009D17D525729FF6ECBA9B3C.jpg,https://www.sej.co.jp/products/a/item/047776/,174kcal,3.3g,0.9g,39.4g,37.1g,2.3g,0.93g
直巻おむすび熟成紅すじこ醤油漬け,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047683/6E1169EDC4B9819D582BFC01B72C281D.jpg,https://www.sej.co.jp/products/a/item/047683/,187kcal,4.1g,2.1g,38.1g,37.7g,0.4g,1.1g
直巻おむすび塩漬け筋子,208円（税込224.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047684/D457CF5D5C34668CAE27ED96F6E3F397.jpg,https://www.sej.co.jp/products/a/item/047684/,180kcal,4.2g,1.6g,38.2g,36.3g,1.9g,2.1g
味付のりツナマヨネーズ,165円（税込178.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047809/66FDAFAEDB21EA5BFBB8C876F5EE467C.jpg,https://www.sej.co.jp/products/a/item/047809/,251kcal,5.0g,9.9g,36.3g,34.5g,1.8g,1.1g
神奈川限定湘南しらすと菜飯のおむすび,195円（税込210.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/040425/437292EB0078CB623FD0AEE82ECA8AC7.jpg,https://www.sej.co.jp/products/a/item/040425/,172kcal,4.7g,1.2g,36.3g,34.7g,1.6g,1.3g
味付のりおにぎり梅おかか,175円（税込189円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047801/6EF7A96D02DE9F4AE8AB9685C68A6692.jpg,https://www.sej.co.jp/products/a/item/047801/,170kcal,3.7g,0.8g,37.8g,36.0g,1.8g,1.3g
味付海苔海老マヨネーズこだわり卵のマヨネーズ,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047791/910D01F3B9A24FF92DD62082FFA91360.jpg,https://www.sej.co.jp/products/a/item/047791/,250kcal,4.3g,9.7g,37.1g,35.4g,1.7g,1.4g
東北限定三陸産わかめのおむすび,128円（税込138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047864/CBBC421F15C8576DD56956576285E29C.jpg,https://www.sej.co.jp/products/a/item/047864/,173kcal,3.0g,1.3g,38.2g,36.3g,1.9g,1.1g
味噌むすび,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047912/37F2821221A2BD8CB0E05EA7F52109E2.jpg,https://www.sej.co.jp/products/a/item/047912/,210kcal,4.2g,1.7g,45.5g,43.3g,2.2g,2.2g
直巻しょうゆおむすびすじこ（醤油麹仕立て）,258円（税込278.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047792/FC96917CF8D43435F0CAFAE44E140AB4.jpg,https://www.sej.co.jp/products/a/item/047792/,177kcal,4.4g,1.3g,37.8g,35.9g,1.9g,2.3g
味付海苔炭火焼紅しゃけ,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047813/40F0A3A6E6998ED97429F7CC5C35A8A4.jpg,https://www.sej.co.jp/products/a/item/047813/,180kcal,4.6g,2.5g,35.8g,33.9g,1.9g,0.85g
直巻おむすび焼しゃけ,170円（税込183.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047626/BAB22A3E569B71DB81116C7F67C0434C.jpg,https://www.sej.co.jp/products/a/item/047626/,179kcal,4.7g,1.4g,37.9g,36.1g,1.8g,1g
おむすび＆おかずツナごはん・チキンライス,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047881/2BA4C0F7D737F4390AA6206B46CE4DC9.jpg,https://www.sej.co.jp/products/a/item/047881/,443kcal,16.5g,10.7g,71.1g,69.3g,1.8g,3.2g
白身魚のバター焼おむすび,228円（税込246.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047103/8351533B11506C52E38C1A3AD728DA6E.jpg,https://www.sej.co.jp/products/a/item/047103/,275kcal,9.4g,3.7g,52.3g,49.9g,2.4g,3.1g
鶏ごぼう味めしおむすび青森県産ごぼう使用,148円（税込159.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047906/527BC9E6C9FBA9FB83661E7BDF4E7321.jpg,https://www.sej.co.jp/products/a/item/047906/,219kcal,5.8g,2.7g,43.8g,41.7g,2.1g,1.9g
栗炊き込みご飯おむすび,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047939/F7B8810EF4569E2D017776AC52098890.jpg,https://www.sej.co.jp/products/a/item/047939/,195kcal,3.5g,1.1g,43.6g,42.0g,1.6g,0.6g
長野限定きのこの炊き込み御飯おむすび,168円（税込181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044425/4FD6267884901D728FF3677DFA8287A6.jpg,https://www.sej.co.jp/products/a/item/044425/,231kcal,5.8g,1.9g,48.9g,46.5g,2.4g,2.5g
旨さ相盛おむすびツナマヨネーズと真昆布,270円（税込291.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/047940/477D9B80C8B8A98DA9CB59A7435F7F27.jpg,https://www.sej.co.jp/products/a/item/047940/,312kcal,6.4g,6.5g,58.6g,55.3g,3.3g,1.2g
せいろ蒸し舞茸おこわおむすび,168円（税込181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/045492/9F69DADFABCD4AC23B248E9617C29FEA.jpg,https://www.sej.co.jp/products/a/item/045492/,207kcal,5.1g,2.8g,41.0g,39.9g,1.1g,1.7g
