product_name,price,picture,calorie,protein,fat,carbohydrate,sugar,fiber,salt,url
豚焼肉弁当（マヨネーズ付き）,499,https://www.family.co.jp/content/dam/family/goods/0616423.jpg,683.00,18.50,23.10,101.30,,,4.00,https://www.family.co.jp/goods/obento/0616423.html
米どりと明太子のかきたまごはん,499,https://www.family.co.jp/content/dam/family/goods/0730532.jpg,409.00,14.10,5.70,76.10,,,3.70,https://www.family.co.jp/goods/obento/0730532.html
おろしタツタ弁当（わかめごはん）,598,https://www.family.co.jp/content/dam/family/goods/0616546.jpg,657.00,25.50,21.10,92.50,,,3.80,https://www.family.co.jp/goods/obento/0616546.html
甘辛鶏から揚げ&デミハンバーグ弁当,555,https://www.family.co.jp/content/dam/family/goods/0616539.jpg,729.00,21.80,22.20,112.40,,,4.00,https://www.family.co.jp/goods/obento/0616539.html
【関東・東海・北陸】世界の山ちゃん監修　甘辛から揚げ弁当,599,https://www.family.co.jp/content/dam/family/goods/0615488.jpg,671.00,30.70,16.30,101.60,,,3.60,https://www.family.co.jp/goods/obento/0615488.html
【関東の一部】旨辛みそ豚バラ丼,554,https://www.family.co.jp/content/dam/family/goods/0730877.jpg,646.00,15.70,25.30,90.20,,,3.10,https://www.family.co.jp/goods/obento/0730877.html
鶏のうまみ！鶏そぼろ弁当,320,https://www.family.co.jp/content/dam/family/goods/0614115.jpg,345.00,10.70,5.90,63.00,,,1.20,https://www.family.co.jp/goods/obento/0614115.html
30種類以上のスパイスが決め手のこだわりカレー,367,https://www.family.co.jp/content/dam/family/goods/0614191.jpg,557.00,11.50,11.90,102.70,,,3.70,https://www.family.co.jp/goods/obento/0614191.html
完熟トマトの旨味！バターチキンカレー,508,https://www.family.co.jp/content/dam/family/goods/0730495.jpg,495.00,13.00,15.50,76.70,,,2.60,https://www.family.co.jp/goods/obento/0730495.html
スパイス香る！ロースかつカレー,555,https://www.family.co.jp/content/dam/family/goods/0730242.jpg,775.00,17.20,29.90,109.50,,,4.80,https://www.family.co.jp/goods/obento/0730242.html
白身フライごはん,276,https://www.family.co.jp/content/dam/family/goods/0614269.jpg,443.00,10.70,12.00,73.80,,,2.30,https://www.family.co.jp/goods/obento/0614269.html
とろっとチーズソースのきのことベーコンのドリア,526,https://www.family.co.jp/content/dam/family/goods/0736121.jpg,469.00,13.70,12.00,77.60,,,2.90,https://www.family.co.jp/goods/obento/0736121.html
お出汁染み込む　ふんわり玉子の親子丼,510,https://www.family.co.jp/content/dam/family/goods/0730525.jpg,463.00,18.50,11.00,73.60,,,2.60,https://www.family.co.jp/goods/obento/0730525.html
大麦豚のロースかつ丼,630,https://www.family.co.jp/content/dam/family/goods/0730358.jpg,648.00,22.60,22.60,89.40,,,4.20,https://www.family.co.jp/goods/obento/0730358.html
スパイシーな味わい！辛旨チキン&ジャンバラヤ,598,https://www.family.co.jp/content/dam/family/goods/0730501.jpg,620.00,22.10,20.90,87.40,,,4.20,https://www.family.co.jp/goods/obento/0730501.html
【関東の一部】カレーピラフ&ナポリタン,555,https://www.family.co.jp/content/dam/family/goods/0730891.jpg,804.00,20.60,20.10,137.50,,,7.30,https://www.family.co.jp/goods/obento/0730891.html
醤の旨味がきいた麻婆豆腐ごはん,462,https://www.family.co.jp/content/dam/family/goods/0730297.jpg,462.00,15.50,12.00,74.20,,,2.70,https://www.family.co.jp/goods/obento/0730297.html
【埼玉県の一部・東京都・神奈川県】ガイヤーンプレート（タイ風グリルチキン）,602,https://www.family.co.jp/content/dam/family/goods/0730884.jpg,553.00,33.10,13.00,76.40,,,2.00,https://www.family.co.jp/goods/obento/0730884.html
こだわり肉シュウマイ弁当,614,https://www.family.co.jp/content/dam/family/goods/0730402.jpg,684.00,21.50,28.00,88.10,,,3.70,https://www.family.co.jp/goods/obento/0730402.html
銀鮭と煮物の幕の内弁当,555,https://www.family.co.jp/content/dam/family/goods/0616140.jpg,534.00,15.10,17.20,81.10,,,2.60,https://www.family.co.jp/goods/obento/0616140.html
にんにくと醤油が決め手の山賊焼&ガーリックライス,630,https://www.family.co.jp/content/dam/family/goods/0730303.jpg,836.00,27.60,29.80,115.70,,,5.80,https://www.family.co.jp/goods/obento/0730303.html
デミソースと食べるとろとろたまごのオムライス,555,https://www.family.co.jp/content/dam/family/goods/0730693.jpg,595.00,14.70,26.40,75.20,,,5.00,https://www.family.co.jp/goods/obento/0730693.html
手巻　紅しゃけ,195,https://www.family.co.jp/content/dam/family/goods/0410175.jpg,168.00,4.30,1.50,34.60,,,0.70,https://www.family.co.jp/goods/omusubi/0410175.html
手巻　辛子明太子,195,https://www.family.co.jp/content/dam/family/goods/0410182.jpg,175.00,4.10,1.40,36.70,,,1.20,https://www.family.co.jp/goods/omusubi/0410182.html
手巻　シーチキン®マヨネーズ,165,https://www.family.co.jp/content/dam/family/goods/0410205.jpg,219.00,3.80,6.20,37.40,,,0.90,https://www.family.co.jp/goods/omusubi/0410205.html
手巻　紀州南高梅,158,https://www.family.co.jp/content/dam/family/goods/0410199.jpg,176.00,2.70,0.90,39.50,,,1.40,https://www.family.co.jp/goods/omusubi/0410199.html
手巻　真昆布,158,https://www.family.co.jp/content/dam/family/goods/0410274.jpg,183.00,3.20,1.30,40.20,,,1.10,https://www.family.co.jp/goods/omusubi/0410274.html
サンドおむすび　炙り焼チキン,352,https://www.family.co.jp/content/dam/family/goods/0411608.jpg,327.00,13.80,8.90,48.50,,,1.40,https://www.family.co.jp/goods/omusubi/0411608.html
【関東の一部】メガおむすび　つくね,276,https://www.family.co.jp/content/dam/family/goods/0411028.jpg,336.00,9.30,2.70,69.10,,,1.50,https://www.family.co.jp/goods/omusubi/0411028.html
【関東・東海・北陸】世界の山ちゃん監修　海老天むす,276,https://www.family.co.jp/content/dam/family/goods/0415255.jpg,277.00,5.70,5.90,50.90,,,2.10,https://www.family.co.jp/goods/omusubi/0415255.html
直巻　和風ツナマヨネーズ,149,https://www.family.co.jp/content/dam/family/goods/0411219.jpg,228.00,4.30,6.10,39.40,,,1.30,https://www.family.co.jp/goods/omusubi/0411219.html
